ISO3,AGEP,YARP,NUMP,CNSY,YOBP
IND,0,2000,388.076,2000,2000
IND,1,2000,388.076,2000,1999
IND,2,2000,388.076,2000,1998
IND,3,2000,388.076,2000,1997
IND,4,2000,388.076,2000,1996
IND,5,2000,388.076,2000,1995
IND,6,2000,388.076,2000,1994
IND,7,2000,388.076,2000,1993
IND,8,2000,388.076,2000,1992
IND,9,2000,388.076,2000,1991
IND,10,2000,388.076,2000,1990
IND,11,2000,388.076,2000,1989
IND,12,2000,388.076,2000,1988
IND,13,2000,388.076,2000,1987
IND,14,2000,388.076,2000,1986
IND,15,2000,573.5535,2000,1985
IND,16,2000,573.5535,2000,1984
IND,17,2000,573.5535,2000,1983
IND,18,2000,573.5535,2000,1982
IND,19,2000,573.5535,2000,1981
IND,20,2000,573.5535,2000,1980
IND,21,2000,573.5535,2000,1979
IND,22,2000,573.5535,2000,1978
IND,23,2000,573.5535,2000,1977
IND,24,2000,573.5535,2000,1976
IND,25,2000,573.5535,2000,1975
IND,26,2000,573.5535,2000,1974
IND,27,2000,573.5535,2000,1973
IND,28,2000,573.5535,2000,1972
IND,29,2000,573.5535,2000,1971
IND,30,2000,647.7445,2000,1970
IND,31,2000,647.7445,2000,1969
IND,32,2000,647.7445,2000,1968
IND,33,2000,647.7445,2000,1967
IND,34,2000,647.7445,2000,1966
IND,35,2000,647.7445,2000,1965
IND,36,2000,647.7445,2000,1964
IND,37,2000,647.7445,2000,1963
IND,38,2000,647.7445,2000,1962
IND,39,2000,647.7445,2000,1961
IND,40,2000,647.7445,2000,1960
IND,41,2000,647.7445,2000,1959
IND,42,2000,647.7445,2000,1958
IND,43,2000,647.7445,2000,1957
IND,44,2000,647.7445,2000,1956
IND,45,2000,208.3055,2000,1955
IND,46,2000,208.3055,2000,1954
IND,47,2000,208.3055,2000,1953
IND,48,2000,208.3055,2000,1952
IND,49,2000,208.3055,2000,1951
IND,50,2000,208.3055,2000,1950
IND,51,2000,208.3055,2000,1949
IND,52,2000,208.3055,2000,1948
IND,53,2000,208.3055,2000,1947
IND,54,2000,208.3055,2000,1946
IND,55,2000,208.3055,2000,1945
IND,56,2000,208.3055,2000,1944
IND,57,2000,208.3055,2000,1943
IND,58,2000,208.3055,2000,1942
IND,59,2000,208.3055,2000,1941
IND,60,2000,77.0445,2000,1940
IND,61,2000,77.0445,2000,1939
IND,62,2000,77.0445,2000,1938
IND,63,2000,77.0445,2000,1937
IND,64,2000,77.0445,2000,1936
IND,65,2000,77.0445,2000,1935
IND,66,2000,77.0445,2000,1934
IND,67,2000,77.0445,2000,1933
IND,68,2000,77.0445,2000,1932
IND,69,2000,77.0445,2000,1931
IND,70,2000,77.0445,2000,1930
IND,71,2000,77.0445,2000,1929
IND,72,2000,77.0445,2000,1928
IND,73,2000,77.0445,2000,1927
IND,74,2000,77.0445,2000,1926
IND,75,2000,8.5605,2000,1925
IND,76,2000,8.5605,2000,1924
IND,77,2000,8.5605,2000,1923
IND,78,2000,8.5605,2000,1922
IND,79,2000,8.5605,2000,1921
IND,80,2000,7.13375,2000,1920
IND,81,2000,7.13375,2000,1919
IND,82,2000,7.13375,2000,1918
IND,83,2000,7.13375,2000,1917
IND,84,2000,7.13375,2000,1916
IND,85,2000,7.13375,2000,1915
IND,86,2000,7.13375,2000,1914
IND,87,2000,7.13375,2000,1913
IND,88,2000,7.13375,2000,1912
IND,89,2000,7.13375,2000,1911
IND,0,2001,424.3744,2001,2001
IND,1,2001,424.3744,2001,2000
IND,2,2001,424.3744,2001,1999
IND,3,2001,424.3744,2001,1998
IND,4,2001,424.3744,2001,1997
IND,5,2001,424.3744,2001,1996
IND,6,2001,424.3744,2001,1995
IND,7,2001,424.3744,2001,1994
IND,8,2001,424.3744,2001,1993
IND,9,2001,424.3744,2001,1992
IND,10,2001,424.3744,2001,1991
IND,11,2001,424.3744,2001,1990
IND,12,2001,424.3744,2001,1989
IND,13,2001,424.3744,2001,1988
IND,14,2001,424.3744,2001,1987
IND,15,2001,627.2004,2001,1986
IND,16,2001,627.2004,2001,1985
IND,17,2001,627.2004,2001,1984
IND,18,2001,627.2004,2001,1983
IND,19,2001,627.2004,2001,1982
IND,20,2001,627.2004,2001,1981
IND,21,2001,627.2004,2001,1980
IND,22,2001,627.2004,2001,1979
IND,23,2001,627.2004,2001,1978
IND,24,2001,627.2004,2001,1977
IND,25,2001,627.2004,2001,1976
IND,26,2001,627.2004,2001,1975
IND,27,2001,627.2004,2001,1974
IND,28,2001,627.2004,2001,1973
IND,29,2001,627.2004,2001,1972
IND,30,2001,708.3308,2001,1971
IND,31,2001,708.3308,2001,1970
IND,32,2001,708.3308,2001,1969
IND,33,2001,708.3308,2001,1968
IND,34,2001,708.3308,2001,1967
IND,35,2001,708.3308,2001,1966
IND,36,2001,708.3308,2001,1965
IND,37,2001,708.3308,2001,1964
IND,38,2001,708.3308,2001,1963
IND,39,2001,708.3308,2001,1962
IND,40,2001,708.3308,2001,1961
IND,41,2001,708.3308,2001,1960
IND,42,2001,708.3308,2001,1959
IND,43,2001,708.3308,2001,1958
IND,44,2001,708.3308,2001,1957
IND,45,2001,227.7892,2001,1956
IND,46,2001,227.7892,2001,1955
IND,47,2001,227.7892,2001,1954
IND,48,2001,227.7892,2001,1953
IND,49,2001,227.7892,2001,1952
IND,50,2001,227.7892,2001,1951
IND,51,2001,227.7892,2001,1950
IND,52,2001,227.7892,2001,1949
IND,53,2001,227.7892,2001,1948
IND,54,2001,227.7892,2001,1947
IND,55,2001,227.7892,2001,1946
IND,56,2001,227.7892,2001,1945
IND,57,2001,227.7892,2001,1944
IND,58,2001,227.7892,2001,1943
